trade_date,SG Trend Indicator,SG CTA Index,SG Trend Index,S&P 500 TR,sg_trend_indicator_ret,sg_cta_index_ret,sg_trend_index_ret,sp500_ret
2000-06-30,100.03,96.51,89.41,100.54,0.001702383336671387,-0.0025837122778007426,-0.005229194481530919,0.008526431939011037
2000-07-03,99.01,96.41,89.45,101.57,-0.010196940917724606,-0.0010361620557456375,0.00044737725086685387,0.010244678734831814
2000-07-04,99.45,96.41,89.45,,0.004443995556004499,0.0,0.0,
2000-07-05,100.0,95.74,88.24,99.98,0.005530417295123158,-0.006949486567783492,-0.013527110117384056,
2000-07-06,99.82,95.44,87.85,100.71,-0.0018000000000000238,-0.003133486526007867,-0.004419764279238403,0.007301460292058248
2000-07-07,100.04,95.4,87.87,102.25,0.00220396714085358,-0.0004191114836545884,0.0002276607854299062,0.015291430841028797
2000-07-10,99.06,95.07,87.29,102.02,-0.009796081567373105,-0.0034591194968555117,-0.0066006600660065695,-0.0022493887530562473
2000-07-11,99.62,95.05,87.26,102.39,0.005653139511407224,-0.00021037130535395132,-0.00034368197960821245,0.0036267398549305607
2000-07-12,99.87,95.25,87.53,103.23,0.002509536237703225,0.002104155707522315,0.0030942012376804495,0.008203926164664477
2000-07-13,100.89,95.68,88.51,103.43,0.010213277260438636,0.0045144356955382214,0.011196161316120223,0.0019374212922600442
2000-07-14,100.18,95.51,88.17,104.41,-0.007037367429874042,-0.0017767558528428706,-0.0038413738560615363,0.009475007251281031
2000-07-17,99.62,95.32,87.61,104.45,-0.005589938111399517,-0.001989320490001223,-0.006351366678008397,0.0003831050665645819
2000-07-18,99.78,95.42,87.76,103.29,0.0016061031921301705,0.0010490977759127773,0.0017121333181144838,-0.011105792245093338
2000-07-19,100.01,95.13,87.2,102.48,0.002305071156544436,-0.003039195137287898,-0.006381039197812188,-0.007841998257333782
2000-07-20,100.09,94.87,87.25,103.42,0.0007999200079991109,-0.002733102070850313,0.0005733944954127157,0.0091725214676035
2000-07-21,100.11,95.02,87.36,102.36,0.00019982016185426943,0.001581110993991608,0.001260744985673412,-0.010249468187971456
2000-07-24,99.81,94.68,86.76,101.26,-0.0029967036260113433,-0.003578194064407403,-0.006868131868131844,-0.01074638530676042
2000-07-25,99.87,94.87,87.03,101.97,0.0006011421701233033,0.0020067596113222397,0.003112033195020736,0.007011653170057253
2000-07-26,99.94,95.22,87.54,100.44,0.0007009111845397431,0.0036892589859807146,0.00586004825922104,-0.015004413062665534
2000-07-27,100.9,95.31,88.01,100.26,0.009605763458074845,0.000945179584121103,0.005368974183230568,-0.0017921146953404632
2000-07-28,101.1,95.5,88.1,98.21,0.001982160555004775,0.00199349491134182,0.0010226110669240285,-0.02044683822062643
2000-07-31,101.9,94.99,87.29,98.96,0.00791295746785381,-0.005340314136125679,-0.009194097616344932,0.0076366968740453345
2000-08-01,102.33,94.74,87.08,99.47,0.004219823356231611,-0.002631855984840503,-0.002405773857257487,0.005153597413096289
2000-08-02,102.64,94.94,87.61,99.52,0.0030294146389133747,0.002111040743086434,0.006086357372530937,0.0005026641198351278
2000-08-03,102.95,95.05,87.91,100.48,0.0030202650038970713,0.0011586265009480012,0.0034242666362287455,0.009646302250803984
2000-08-04,103.65,95.3,88.52,101.21,0.006799417192812074,0.002630194634402949,0.006938914799226481,0.007265127388534909
2000-08-07,102.97,95.07,88.03,102.35,-0.006560540279787808,-0.0024134312696747484,-0.0055354722096701,0.011263709119652132
2000-08-08,103.68,95.18,88.37,102.6,0.006895212197727485,0.0011570421794468988,0.003862319663751057,0.002442598925256556
2000-08-09,103.46,94.98,88.11,101.92,-0.002121913580247048,-0.0021012817818869545,-0.002942174946248821,-0.00662768031189076
2000-08-10,103.32,95.26,88.56,101.06,-0.0013531799729363803,0.0029479890503263384,0.005107252298263587,-0.00843799058084771
2000-08-11,103.69,94.95,88.1,101.87,0.003581107239643888,-0.0032542515221499757,-0.00519421860885283,0.008015040569958387
2000-08-14,103.91,95.46,88.93,103.24,0.0021217089401099898,0.005371248025276332,0.009421112372304252,0.01344851281044468
2000-08-15,103.25,94.73,87.67,102.74,-0.006351650466750014,-0.0076471820657866285,-0.014168447093219405,-0.0048430840759395855
2000-08-16,102.28,94.33,87.06,102.44,-0.00939467312348663,-0.004222527182518809,-0.0069579103456142155,-0.002919992213354039
2000-08-17,102.35,94.66,87.74,103.56,0.0006843957763003061,0.003498356832396965,0.007810705260739681,0.010933229207340966
2000-08-18,103.03,95.16,88.61,103.26,0.006643869076697673,0.005282062117050401,0.009915659904262686,-0.0028968713789107037
2000-08-21,103.64,95.61,89.39,103.8,0.005920605648840116,0.00472887767969743,0.008802618214648561,0.005229517722254329
2000-08-22,103.72,95.07,88.48,103.71,0.0007719027402546264,-0.005647944775651115,-0.010180109631949819,-0.0008670520231214285
2000-08-23,104.48,94.77,88.22,104.26,0.007327419976860927,-0.00315556958030927,-0.002938517179023603,0.005303249445569591
2000-08-24,104.36,94.26,87.31,104.42,-0.0011485451761102938,-0.005381449825894169,-0.010315121287689855,0.0015346249760215258
2000-08-25,104.02,94.77,88.26,104.29,-0.0032579532387888577,0.005410566518141202,0.010880769671286261,-0.0012449722275426067
2000-08-28,103.73,94.86,88.36,104.83,-0.002787925398961666,0.0009496676163343043,0.0011330160888283203,0.005177869402627211
2000-08-29,104.38,95.3,88.96,104.54,0.006266268196278624,0.004638414505587107,0.006790402897238534,-0.002766383668797001
2000-08-30,104.24,95.42,89.41,104.06,-0.0013412531136233197,0.0012591815320042166,0.005058453237410054,-0.004591543906638629
2000-08-31,104.81,95.78,90.06,105.11,0.005468150422102802,0.003772793963529697,0.007269880326585376,0.010090332500480415
2000-09-01,103.81,96.1,90.5,105.33,-0.009541074324968979,0.0033409897682188383,0.004885631801021528,0.0020930453810292793
2000-09-04,103.95,96.14,90.44,,0.0013486176668915384,0.00041623309053084867,-0.0006629834254143763,
2000-09-05,104.72,96.83,91.86,104.38,0.007407407407407307,0.0071770334928229484,0.015701017249004856,
2000-09-06,105.79,97.87,93.69,103.36,0.010217723453017635,0.010740472993906902,0.01992161985630303,-0.009771986970684043
2000-09-07,105.89,97.69,93.6,104.07,0.0009452689290101457,-0.0018391744150404454,-0.0009606147934678733,0.006869195046439458
2000-09-08,106.87,96.86,91.87,103.52,0.009254887147039481,-0.008496263691268324,-0.018482905982905917,-0.005284904391275047
2000-09-11,107.51,97.31,92.93,103.16,0.005988584261251928,0.004645880652488055,0.011538042886687805,-0.0034775888717155645
2000-09-12,107.55,97.02,92.06,102.65,0.0003720584131707838,-0.002980166478265378,-0.009361885290003258,-0.004943776657619137
2000-09-13,107.8,97.03,92.07,102.88,0.002324500232450122,0.00010307153164301752,0.00010862480990647683,0.002240623477837156
2000-09-14,108.14,96.95,92.02,102.6,0.00315398886827456,-0.000824487271977703,-0.0005430650591941033,-0.0027216174183515296
2000-09-15,107.96,97.44,93.03,101.56,-0.0016645089698539284,0.005054151624548586,0.010975874809824093,-0.010136452241715332
2000-09-18,108.1,97.41,92.76,100.08,0.001296776583920023,-0.00030788177339902134,-0.002902289584005069,-0.014572666404096157
2000-09-19,108.09,96.8,91.89,101.15,-9.250693802032028e-05,-0.006262190740170426,-0.00937904269081502,0.010691446842526098
2000-09-20,107.96,96.83,91.9,100.56,-0.0012027014524933488,0.0003099173553720025,0.00010882576994242221,-0.0058329214038557176
2000-09-21,107.14,95.91,89.96,100.4,-0.00759540570581696,-0.009501187648456089,-0.02110990206746477,-0.0015910898965790787
2000-09-22,105.95,94.07,86.45,100.38,-0.011106962852342694,-0.01918465227817745,-0.03901734104046228,-0.00019920318725108466
2000-09-25,105.91,93.8,86.04,99.71,-0.0003775365738556413,-0.0028702030402890655,-0.004742625795257305,-0.006674636381749366
2000-09-26,104.93,93.39,85.19,98.89,-0.009253139458030302,-0.0043710021321961,-0.00987912598791274,-0.00822384916257135
2000-09-27,104.92,93.31,85.0,98.86,-9.530162965787348e-05,-0.0008566227647499591,-0.0022303087216809514,-0.00030336737789460333
2000-09-28,105.69,92.69,83.94,101.06,0.007338924895158083,-0.006644518272425293,-0.012470588235294122,0.022253692089823973
2000-09-29,106.09,92.68,83.96,99.56,0.00378465323114785,-0.00010788650339832451,0.0002382654276864571,-0.014842667722145264
2000-10-02,106.52,93.1,84.67,99.54,0.004053162409275002,0.004531722054380571,0.008456407813244526,-0.0002008838891121023
2000-10-03,106.78,93.08,84.79,98.87,0.0024408561772437665,-0.0002148227712136519,0.0014172670367309514,-0.006730962427164977
2000-10-04,106.12,92.65,83.96,99.43,-0.0061809327589436025,-0.004619681993983549,-0.009788890199316058,0.005664003236573345
2000-10-05,106.51,92.67,84.09,99.58,0.003675084809649398,0.00021586616297897265,0.0015483563601716988,0.0015085990143819394
2000-10-06,107.69,92.84,84.49,97.69,0.01107877194629614,0.0018344663861011856,0.004756808181709982,-0.01897971480216909
